"","case_control_group","fruit","measure","human_fruit","human_dropped_fruit","animal_dropped_fruit","bat_fruit","tp_fruit"
"362","control, near","betel","sum",1398,596,19,818,702
"363","control, near","betel","count",1768,1768,1768,1768,1707
"364","control, near","betel","numNA",0,0,0,0,61
"365","control, near","blackberry.jam","mean",0.770361990950226,0.35237556561086,0.0938914027149321,0.513009049773756,0.155828939660223
"366","control, near","blackberry.jam","sum",1362,623,166,907,266
"367","control, near","blackberry.jam","count",1768,1768,1768,1768,1707
"368","control, near","blackberry.jam","numNA",0,0,0,0,61
"369","control, near","water.chestnut","mean",0.136467889908257,0.00401376146788991,0.00458715596330275,0.0149082568807339,0.0029708853238265
"370","control, near","water.chestnut","sum",238,7,8,26,5
"371","control, near","water.chestnut","count",1744,1744,1744,1744,1683
"372","control, near","water.chestnut","numNA",24,24,24,24,85
