"","Village_ID","Tree_number","Tree_type","Date_of_observation","Day","Month","Year","Date_of_shaving","Camera_number","Tree_coordinates_east","Tree_coordinates_west","In_H","In_M","In_S","Out_H","Out_M","Out_S","DurStayT","DurContT","Way","Con_place","P_NP","Comments","Number_of_visits","Number_of_stays","Number_of_contaminations","AM_PM"
"2715",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",6,34,47,6,34,54,7,6,2,1,0,NA,1,1,1,"PM"
"2716",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",6,35,48,6,35,49,1,0,2,1,0,NA,1,0,0,"PM"
"2717",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",6,36,24,6,36,25,1,0,0,0,2,NA,1,0,0,"PM"
"2718",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",6,50,8,6,50,9,1,0,0,0,0,NA,1,0,0,"PM"
"2719",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",6,54,12,6,54,14,2,1,2,0,0,NA,1,1,0,"PM"
"2720",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",7,10,49,7,10,54,5,4,2,1,0,NA,1,1,1,"PM"
"2721",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",7,22,39,7,22,40,1,0,0,0,2,NA,1,0,0,"PM"
"2722",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",7,22,57,7,22,59,2,1,2,1,0,NA,1,1,1,"PM"
"2723",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",7,27,11,7,27,17,6,5,2,1,0,NA,1,1,1,"PM"
"2724",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",8,9,47,8,10,38,51,50,2,1,0,NA,1,1,1,"PM"
"2725",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",8,17,0,8,17,5,5,4,2,1,0,NA,1,1,1,"PM"
"2726",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",8,18,16,8,18,18,2,1,2,1,0,NA,1,1,1,"PM"
"2727",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",8,41,56,8,41,57,1,0,0,0,2,NA,1,0,0,"PM"
"2728",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",8,44,2,8,44,3,1,0,0,0,2,NA,1,0,0,"PM"
"2729",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",8,44,29,8,44,36,7,6,2,1,0,NA,1,1,1,"PM"
"2730",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",9,9,4,9,9,53,49,48,2,1,0,NA,1,1,1,"PM"
"2731",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",9,39,17,9,39,18,1,0,0,0,0,NA,1,0,0,"PM"
"2732",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",9,40,24,9,41,59,95,94,2,1,0,NA,1,1,1,"PM"
"2733",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",9,43,19,9,43,20,1,0,0,0,2,NA,1,0,0,"PM"
"2734",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",9,51,1,9,51,2,1,0,2,1,0,NA,1,0,0,"PM"
"2735",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",9,54,36,9,54,37,1,0,0,0,0,NA,1,0,0,"PM"
"2736",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",9,55,27,9,55,28,1,0,2,1,0,NA,1,0,0,"PM"
"2737",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",10,6,39,10,6,40,1,0,0,0,0,NA,1,0,0,"PM"
"2738",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",10,15,57,10,15,59,2,1,2,1,0,NA,1,1,1,"PM"
"2739",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",10,24,55,10,24,57,2,1,2,1,0,NA,1,1,1,"PM"
"2740",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",10,31,27,10,31,28,1,0,0,0,2,NA,1,0,0,"PM"
"2741",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",10,31,49,10,31,57,8,7,2,1,0,NA,1,1,1,"PM"
"2742",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",11,8,33,11,8,34,1,0,2,0,2,NA,1,0,0,"PM"
"2743",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",11,18,36,11,18,40,4,3,2,1,0,NA,1,1,1,"PM"
"2744",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",11,19,1,11,19,5,4,3,2,1,0,NA,1,1,1,"PM"
"2745",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",11,20,5,11,21,10,65,64,3,0,1,NA,1,1,0,"PM"
"2746",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",11,21,4,11,21,10,6,5,2,1,0,NA,1,1,1,"PM"
"2747",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",11,23,39,11,24,18,39,38,3,0,1,NA,1,1,0,"PM"
"2748",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",12,6,19,12,6,27,8,7,2,1,0,NA,1,1,1,"AM"
"2749",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",12,6,27,12,11,40,313,312,3,0,1,NA,1,1,0,"AM"
"2750",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",12,11,38,12,11,39,1,0,3,0,2,NA,1,0,0,"AM"
"2751",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",12,15,49,12,15,50,1,0,0,0,2,NA,1,0,0,"AM"
"2752",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",12,26,17,12,27,22,65,64,2,1,0,NA,1,1,1,"AM"
"2753",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",12,27,22,12,27,23,1,0,0,0,0,NA,1,0,0,"AM"
"2754",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",12,43,20,12,43,21,1,0,2,1,0,NA,1,0,0,"AM"
"2755",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",12,59,47,12,59,48,1,0,2,1,0,NA,1,0,0,"AM"
"2756",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",1,0,6,1,0,14,8,7,2,1,0,NA,1,1,1,"AM"
"2757",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",1,0,54,1,0,59,5,4,2,1,0,NA,1,1,1,"AM"
"2758",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",1,24,11,1,24,34,23,22,2,1,0,NA,1,1,1,"AM"
"2759",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",1,46,28,1,46,30,2,1,2,1,0,NA,1,1,1,"AM"
"2760",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",1,47,10,1,47,11,1,0,0,0,0,NA,1,0,0,"AM"
"2761",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",1,49,44,1,49,45,1,0,2,0,2,NA,1,0,0,"AM"
"2762",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",2,9,26,2,9,27,1,0,0,0,0,NA,1,0,0,"AM"
"2763",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",2,18,24,2,18,26,2,1,2,1,0,NA,1,1,1,"AM"
